% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.476214	1	1	1	7.49981e-15	25.0587	0
0.477214	1	1	1	7.49572e-15	25.0451	0
0.478214	1	1	1	7.49163e-15	25.0314	0
0.479214	1	1	1	7.48754e-15	25.0177	0
0.480214	1	1	1	7.48345e-15	25.0041	0
0.481214	1	1	1	7.47937e-15	24.9904	0
0.482214	1	1	1	7.47529e-15	24.9768	0
0.483214	1	1	1	7.47122e-15	24.9632	0
0.484214	1	1	1	7.46714e-15	24.9496	0
0.485214	1	1	1	7.46307e-15	24.936	0
0.486214	1	1	1	7.459e-15	24.9224	0
0.487214	1	1	1	7.45494e-15	24.9088	0
0.488214	1	1	1	7.45087e-15	24.8952	0
0.489214	1	1	1	7.44681e-15	24.8817	0
0.490214	1	1	1	7.44276e-15	24.8681	0
0.491214	1	1	1	7.4387e-15	24.8545	0
0.492214	1	1	1	7.43465e-15	24.841	0
0.493214	1	1	1	7.4306e-15	24.8275	0
0.494214	1	1	1	7.42655e-15	24.814	0
0.495214	1	1	1	7.42251e-15	24.8005	0
0.496214	1	1	1	7.41847e-15	24.787	0
0.497214	1	1	1	7.41443e-15	24.7735	0
0.498214	1	1	1	7.4104e-15	24.76	0
0.499214	1	1	1	7.40636e-15	24.7465	0
0.500214	1	1	1	7.40234e-15	24.733	0
0.501214	1	1	1	7.39831e-15	24.7196	0
0.502214	1	1	1	7.39428e-15	24.7061	0
0.503214	1	1	1	7.39026e-15	24.6927	0
0.504214	1	1	1	7.38624e-15	24.6793	0
0.505214	1	1	1	7.38223e-15	24.6659	0
0.506214	1	1	1	7.37822e-15	24.6524	0
0.507214	1	1	1	7.3742e-15	24.639	0
0.508214	1	1	1	7.3702e-15	24.6257	0
0.509214	1	1	1	7.36619e-15	24.6123	0
0.510214	1	1	1	7.36219e-15	24.5989	0
0.511214	1	1	1	7.35819e-15	24.5855	0
0.512214	1	1	1	7.35419e-15	24.5722	0
0.513214	1	1	1	7.3502e-15	24.5588	0
0.514214	1	1	1	7.34621e-15	24.5455	0
0.515214	1	1	1	7.34222e-15	24.5322	0
0.516214	1	1	1	7.33823e-15	24.5189	0
0.517214	1	1	1	7.33425e-15	24.5056	0
0.518214	1	1	1	7.33027e-15	24.4923	0
0.519214	1	1	1	7.32629e-15	24.479	0
0.520214	1	1	1	7.32232e-15	24.4657	0
0.521214	1	1	1	7.31835e-15	24.4524	0
0.522214	1	1	1	7.31438e-15	24.4391	0
0.523214	1	1	1	7.31041e-15	24.4259	0
0.524214	1	1	1	7.30645e-15	24.4126	0
0.525214	1	1	1	7.30248e-15	24.3994	0
0.526214	1	1	1	7.29853e-15	24.3862	0
0.527214	1	1	1	7.29457e-15	24.373	0
0.528214	1	1	1	7.29062e-15	24.3598	0
0.529214	1	1	1	7.28667e-15	24.3466	0
0.530214	1	1	1	7.28272e-15	24.3334	0
0.531214	1	1	1	7.27877e-15	24.3202	0
0.532214	1	1	1	7.27483e-15	24.307	0
0.533214	1	1	1	7.27089e-15	24.2938	0
0.534214	1	1	1	7.26695e-15	24.2807	0
0.535214	1	1	1	7.26302e-15	24.2675	0
0.536214	1	1	1	7.25909e-15	24.2544	0
0.537214	1	1	1	7.25516e-15	24.2413	0
0.538214	1	1	1	7.25123e-15	24.2282	0
0.539214	1	1	1	7.24731e-15	24.215	0
0.540214	1	1	1	7.24338e-15	24.2019	0
0.541214	1	1	1	7.23947e-15	24.1889	0
0.542214	1	1	1	7.23555e-15	24.1758	0
0.543214	1	1	1	7.23164e-15	24.1627	0
0.544214	1	1	1	7.22773e-15	24.1496	0
0.545214	1	1	1	7.22382e-15	24.1366	0
0.546214	1	1	1	7.21991e-15	24.1235	0
0.547214	1	1	1	7.21601e-15	24.1105	0
0.548214	1	1	1	7.21211e-15	24.0975	0
0.549214	1	1	1	7.20821e-15	24.0844	0
0.550214	1	1	1	7.20432e-15	24.0714	0
0.551214	1	1	1	7.20043e-15	24.0584	0
0.552214	1	1	1	7.19654e-15	24.0454	0
0.553214	1	1	1	7.19265e-15	24.0324	0
0.554214	1	1	1	7.18877e-15	24.0195	0
0.555214	1	1	1	7.18489e-15	24.0065	0
0.556214	1	1	1	7.18101e-15	23.9935	0
0.557214	1	1	1	7.17713e-15	23.9806	0
0.558214	1	1	1	7.17326e-15	23.9676	0
0.559214	1	1	1	7.16939e-15	23.9547	0
0.560214	1	1	1	7.16552e-15	23.9418	0
